ID,age_of_shooter,prior_signs_mental_health_issues,race,gender,,,,,
1,21,yes,White,M,,,,,
2,59,,White,M,,,,,
3,40,yes,Black,M,,,,,
4,18,yes,White,M,,,,,
5,33,yes,Latino,M,,,,,
6,25,yes,White,M,,,,,
7,28,,White,"F (""identifies as transgender"" and ""Audrey Hale is a biological woman who, on a social media profile, used male pronouns,” according to Nashville Metro PD officials)",,,,,
8,43,,Black,M,,,,,
9,67,,Asian,M,,,,,
10,72,yes,Asian,M,,,,,
11,31,,Black,M,,,,,
12,22,yes,White,M,,,,,
13,22,,Black,M,,,,,
14,15,,White,M,,,,,
15,20,,White,M,,,,,
16,21,,White,M,,,,,
17,70,,White,M,,,,,
18,23,,,M,,,,,
19,45,,Black,M,,,,,
20,18,yes,Latino,M,,,,,
21,18,yes,White,M,,,,,
22,,,,M,,,,,
23,15,,,M,,,,,
24,57,yes,,M,,,,,
25,19,yes,White,M,,,,,
26,44,,,M,,,,,
27,21,yes,,M,,,,,
28,21,,White,M,,,,,
29,31,,,M,,,,,
30,51,,Black,M,,,,,
31,,,Black,Male & Female,,,,,
32,21,,,M,,,,,
33,36,yes,White,M,,,,,
34,24,,White,M,,,,,
35,21,,White,M,,,,,
36,19,TBD,,M,,,,,
37,40,TBD,Black,M,,,,,
38,45,Yes,Black,M,,,,,
39,21,,White,M,,,,,
40,21,Yes,White,M,,,,,
41,32,,Latino,M,,,,,
42,28,Yes,,M,,,,,
43,46,,White,M,,,,,
44,26,,Black,F,,,,,
45,54,,Latino,M,,,,,
46,29,Yes,Latino,M,,,,,
47,38,,White,M,,,,,
48,17,,White,M,,,,,
49,29,Yes,White,M,,,,,
50,36,Yes,Asian,M,,,,,
51,19,Yes,White,M,,,,,
52,28,TBD,White,M,,,,,
53,44,TBD,White,M,,,,,
54,26,Yes,White,M,,,,,
55,47,Unclear,White,M,,,,,
56,37,Unclear,Black,M,,,,,
57,64,TBD,White,M,,,,,
58,38,Yes,Asian,M,,,,,
59,24,Unclear,White,M,,,,,
60,45,Unclear,,M,,,,,
61,43,Yes,White,M,,,,,
62,39,Unclear,Black,M,,,,,
63,26,Yes,Latino,M,,,,,
64,20,Yes,,M,,,,,
65,29,Yes,Black,M,,,,,
66,25,Unclear,Black,M,,,,,
67,29,Unclear,Other,M,,,,,
68,38,Unclear,Black,M,,,,,
69,45,Unclear,White,M,,,,,
70,28,Unclear,Other,Male & Female,,,,,
71,57,Unclear,White,M,,,,,
72,33,Unclear,White ,M,,,,,
73,26,Unclear,Other,Male,,,,,
74,24,Unclear,Other,Male,,,,,
75,21,Unclear,White,Male,,,,,
76,27,Yes,Latino,M,,,,,
77,15,Unclear,Native American,Male,,,,,
78,22,Yes,White,M,,,,,
79,34,Unclear,Latino,M,,,,,
80,44,Unknown,Native American,Female,,,,,
81,34,Yes,Black,Male,,,,,
82,42,Unclear,Latino,Male,,,,,
83,23,Yes,White,Male,,,,,
84,27,No,Black,Male,,,,,
85,64,No,White,Male,,,,,
86,20,Yes,white,Male,,,,,
87,36,Yes,white,Male,,,,,
88,40,Yes,white,Male,,,,,
89,24,Yes,white,Male,,,,,
90,40,Yes,white,Male,,,,,
91,43,Yes,Asian,Male,,,,,
92,59,Yes,Asian,Male,,,,,
93,42,Yes,white,Male,,,,,
94,32,Yes,Latino,Male,,,,,
95,22,Yes,white,Male,,,,,
96,34,No,black,Male,,,,,
97,37,Yes,black,Male,,,,,
98,39,Unclear,Other,Male,,,,,
99,41,Yes,Asian,Male,,,,,
100,45,Yes,white,Male,,,,,
101,25,No,white,Male,,,,,
102,27,Yes,white,Male,,,,,
103,52,No,black,Male,,,,,
104,19,Yes,white,Male,,,,,
105,20,Unclear,white,Male,,,,,
106,23,Yes,Asian,Male,,,,,
107,18,Unclear,white,Male,,,,,
108,32,No,white,Male,,,,,
109,28,No,white,Male,,,,,
110,44,Yes,white,Female,,,,,
111,16,Yes,Native American,Male,,,,,
112,44,Yes,white,Male,,,,,
113,25,Yes,white,Male,,,,,
114,48,Yes,white,Male,,,,,
115,66,No,black,Male,,,,,
116,42,Yes,white,Male,,,,,
117,36,Yes,Latino,Male,,,,,
118,40,Yes,Asian,Male,,,,,
119,47,Yes,white,Male,,,,,
120,44,Yes,white,Male,,,,,
121,17,Yes,white,Male,,,,,
122,15,Yes,white,Male,,,,,
123,11,No,white,Male,,,,,
124,35,Yes,white,Male,,,,,
125,41,No,Latino,Male,,,,,
126,43,No,black,Male,,,,,
127,41,Yes,black,Male,,,,,
128,28,No,unclear,Male,,,,,
129,20,Yes,white,Male,,,,,
130,19,Unclear,black,Male,,,,,
131,35,Yes,black,Male,,,,,
132,22,No,white,Male,,,,,
133,55,No,white,Male,,,,,
134,50,Yes,white,Male,,,,,
135,20,No,white,Male,,,,,
136,31,Yes,white,Male,,,,,
137,28,Unclear,Asian,Male,,,,,
138,35,No,white,Male,,,,,
139,42,No,black,Male,,,,,
140,47,Yes,white,Male,,,,,
141,26,Yes,white,Male,,,,,
142,39,Yes,white,Male,,,,,
143,59,Yes,white,Male,,,,,
144,44,Unclear ,white,Male,,,,,
145,41,Yes,white,Male,,,,,
146,39,Yes,white,Male,,,,,
147,51,Yes,white,Male,,,,,
