ID,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,,,,,
1,yes,local gun stores,"semiautomatic rifle, semiautomatic handgun",AR-15-style rifle; Glock pistol,,,,,
2,-,-,semiautomatic handguns; shotgun,-,,,,,
3,yes,-,"semiautomatic rifle, semiautomatic handgun",AR-15-style rifle,,,,,
4,yes,-,semiautiomatic rifle; semiautomatic pistol,AR-15-style rifle,,,,,
5,yes,-,semiautomatic rifle,AR-15-style rifle,,,,,
6,yes,gun dealership in Louisville,semiautomatic rifle,AR-15 rifle,,,,,
7,yes,-,"semiautomatic rifle, semiautomatic handgun",-,,,,,
8,yes,-,semiautomatic handguns,-,,,,,
9,-,-,semiautomatic handgun,-,,,,,
10,-,-,semiautomatic assault weapon (Details pending),-,,,,,
11,-,-,semiautomatic handgun,-,,,,,
12,-,-,semiautomatic rifle; semiautomatic handgun,-,,,,,
13,yes,"Dance's Sporting Goods; Colonial Heights, VA",semiautomatic pistol,"Glock 45 9mm; Ruger AR-556 rifle (in his dorm room, with other weapons, gear, and ammo)",,,,,
14,-,-,"shotgun, semiautomatic handgun",,,,,,
15,yes,in Greenwood,semiautomatic rifles; semiautomatic handgun,Sig Sauer M400 rifle,,,,,
16,yes,"legally purchased by the shooter in the ""greater Chicago area"" per authorities",semiautomatic rifle,"AR-15 style rifle, possibly modified for rapid fire",,,,,
17,yes,-,semiautomatic handgun,-,,,,,
18,-,-,semiautomatic handgun,-,,,,,
19,yes,-,semiautomatic rifle; semiautomatic handgun,AR-15 style rifle; .40 caliber Smith & Wesson pistol,,,,,
20,yes,-,semiautomatic rifles,-,,,,,
21,yes,-,semiautomatic rifle,Bushmaster XM-15 semiautomatic rifle,,,,,
22,-,-,semiautomatic rifle,"AR-15-style ""ghost gun""",,,,,
23,-,-,semiautomatic handgun,Sig Sauer 9mm pistol,,,,,
24,-,-,semiautomatic handguns,-,,,,,
25,yes,-,semiautomatic rifle,-,,,,,
26,-,-,semiautomatic handgun,-,,,,,
27,Yes,-,"semiautomatic rifle, semiautomatic handgun; tactical vest",Ruger AR-556; weapon was purchased six days before the attack,,,,,
28,-,-,semiautomatic handgun,-,,,,,
29,Yes,-,semiautomatic rifle; semiautomatic handgun,SKS 7.62-caliber rifle; Glock 9mm,,,,,
30,-,-,semiautomatic handgun,-,,,,,
31,-,-,semiautomatic rifle; shotgun; semiautomatic handguns,"AR-15-style rifle; Mossberg 12-gauge shotgun; 9mm Ruger pistol, 9mm Glock 17",,,,,
32,-,-,semiautomatic handgun,-,,,,,
33,-,-,semiautomatic rifle,-,,,,,
34,Yes,-,semiautomatic rifle,"AR-15-style rifle, with a 100-round capacity ammunition drum",,,,,
35,Yes,-,semiautomatic rifle,"AK-47-style rifle, per authorities",,,,,
36,Yes,"Nevada, on July 9",semiautomatic rifle,"AK-47-style rifle, per authorities",,,,,
37,Yes,-,2 handguns,.45-caliber handguns; noise suppressor (silencer); several high-capacity magazines,,,,,
38,No,-,handgun,"Smith & Wesson handgun, with a green sighting laser",,,,,
39,Yes,-,handgun,-,,,,,
40,Yes,-,handgun,9 mm handgun,,,,,
41,-,-,semiautomatic handgun,9mm handgun,,,,,
42,Yes,A gun store in Simi Valley,semiautomatic handgun,"Glock 21, .45 caliber; high-capacity magazine",,,,,
43,Yes,"(Unclear; investigators confirmed he owned 10 guns in total, all purchased and possessed legally, and had a handgun license)",semiautomatic rifle; semiautomatic handguns,AR-15; Glock .357 (3),,,,,
44,Yes,-,semiautomatic handgun,Glock 9 mm,,,,,
45,Yes,-,handgun,Smith & Wesson Model 500 (.50-caliber revolver),,,,,
46,Yes,A local gun store,semiautomatic handgun,9mm handgun,,,,,
47,Yes,-,shotgun,12-gauge pump-action shotgun,,,,,
48,TBD,Father's weapons,shotgun; .38 revolver,-,,,,,
49,Yes,Family member,semiautomatic rifle,AR-15,,,,,
50,Yes,TBD,semiautomatic rifle; shotgun,-,,,,,
51,Yes,A Florida pawn shop,semiautomatic rifle,AR-15,,,,,
52,TBD,TBD,semiautomatic rifle and semiautomatic handgun,-,,,,,
53,No,TBD,semiautomatic rifles,Two illegally modified rifles,,,,,
54,Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI,Purchased in April 2016 from an Academy Sports & Outdoors store in San Antonio,semiautomatic rifle,Ruger AR-556; Kelley also possessed semiautomatic handguns,,,,,
55,TBD,-,semiautomatic handgun,-,,,,,
56,No,Unclear,handgun,.380-caliber; make unclear,,,,,
